timestamp,respiration_rate_mean,respiration_rate_var,movement_fast_filtered_custom_mean,heart_rate_mean,heart_rate_var,external_heart_rate_mean,external_heart_rate_var,external_spo2_mean,external_spo2_var,external_spo2_min,signal_quality_mean,distance_mean,motion_data_count,light_ambient_mean,sound_amplitude_mean,temperature_ambient_mean,pressure_mean,humidity_mean,indoor_air_quality_mean,epoch_duration,sleep_stage
2023-12-18 22:23:40.328000+00:00,0,0,17.97,0,0,0,0,0,0,0,4.46,0.91,30,10864.5,71,18.86,99713,50.42,31.52,29.908,4
2023-12-18 22:24:10.236000+00:00,0,0,17.8,0,0,0,0,0,0,0,6.32,0.94,30,10875.67,26,18.86,99711,50.44,29.24,29.906,4
2023-12-18 22:24:40.142000+00:00,0,0,19.97,0,0,0,0,0,0,0,5.03,0.92,30,10884,38,18.87,99711,50.47,27.79,29.906,4
2023-12-18 22:25:10.048000+00:00,22.712,0.67618,5.23,44.37,1,0,0,0,0,0,7.72,0.92,30,10867,40,18.87,99709,50.54,27.44,29.909,4
2023-12-18 22:25:39.957000+00:00,22.83,0,17.7,46.44,0,0,0,0,0,0,3.88,0.91,30,10878.67,39,18.87,99707,50.6,28.04,29.906,4
2023-12-18 22:26:09.863000+00:00,0,0,5.25,0,0,0,0,0,0,0,6.87,0.91,30,10882.67,40,18.87,99709,50.64,29.76,29.906,4
2023-12-18 22:26:39.769000+00:00,0,0,16.36,0,0,0,0,0,0,0,5.74,0.92,30,10859.5,37,18.88,99709,50.61,28.58,29.911,4
2023-12-18 22:27:09.680000+00:00,0,0,9.59,0,0,0,0,0,0,0,2,0.91,30,10865.67,36,18.89,99709,50.6,30,29.906,4
2023-12-18 22:27:39.586000+00:00,0,0,33.35,0,0,0,0,0,0,0,5.6,0.92,30,10888.33,38,18.89,99709,50.74,28.47,29.906,4
2023-12-18 22:28:09.492000+00:00,0,0,18.12,0,0,0,0,0,0,0,5.7,0.96,30,10883,37,18.9,99707,50.81,27.85,29.909,4
2023-12-18 22:28:39.401000+00:00,20.088,0.51036,0,49.56,11.186,0,0,0,0,0,8.73,0.96,30,10918.5,38,18.92,99707,50.83,28.62,29.906,4
2023-12-18 22:29:09.307000+00:00,19.004,0.59989,17.18,0,0,0,0,0,0,0,10,0.95,30,10932,38,18.92,99704.34,50.87,28.48,29.906,4
2023-12-18 22:29:39.213000+00:00,16.622,0.00032,9.45,0,0,0,0,0,0,0,8.43,0.95,30,10933,40,18.93,99711,50.93,29.53,29.909,4
2023-12-18 22:30:09.122000+00:00,20.977,1.38913,3.54,42.17,0.502,0,0,0,0,0,9.57,0.94,30,10926,40,18.94,99712,50.96,30.48,29.905,4
2023-12-18 22:30:39.027000+00:00,20.861,0.03624,14.28,45.53,0.037,0,0,0,0,0,9.43,0.94,30,10916.33,37,18.95,99711.66,50.97,30.53,29.907,4
2023-12-18 22:31:08.934000+00:00,17.252,0.02324,0,44.32,0.378,0,0,0,0,0,8.1,0.95,30,10770.67,39,18.96,99714.34,51,29.22,29.907,4
2023-12-18 22:31:38.841000+00:00,18.805,1.22423,2.33,0,0,0,0,0,0,0,5.14,0.97,30,10701.67,35,18.96,99714.66,51.04,28.9,29.908,4
2023-12-18 22:32:08.749000+00:00,0,0,11.62,0,0,0,0,0,0,0,3.27,0.94,30,10680,35,18.96,99719,51.08,28.93,29.906,4
2023-12-18 22:32:38.655000+00:00,18.554,0.37055,0,0,0,0,0,0,0,0,7.62,0.94,30,10652.67,40,18.97,99712,51.12,30.1,29.909,4
2023-12-18 22:33:08.564000+00:00,18.715,1.36969,9.82,47.64,6.872,0,0,0,0,0,9.1,0.94,30,10643,36,18.97,99709.66,51.13,29.53,29.906,4
2023-12-18 22:33:38.470000+00:00,20.42,0,16.31,50.61,0.008,0,0,0,0,0,5.89,0.92,30,10683,35,18.98,99710.34,51.11,30.03,29.906,4
2023-12-18 22:34:08.376000+00:00,0,0,4.29,50.68,0,0,0,0,0,0,3.59,0.92,30,10698.5,29,18.98,99711,51.16,30.65,29.909,4
2023-12-18 22:34:38.285000+00:00,0,0,16.27,0,0,0,0,0,0,0,5.67,0.93,30,10687.67,35,18.99,99709,51.17,32.62,29.909,4
2023-12-18 22:35:08.194000+00:00,0,0,12,0,0,0,0,0,0,0,5.16,0.96,30,10647.67,37,19,99709,51.19,31.67,29.905,4
2023-12-18 22:35:38.099000+00:00,19.27,0,0,0,0,0,0,0,0,0,3.28,0.94,30,10635,39,19,99707,51.2,28.65,29.907,4
2023-12-18 22:36:08.006000+00:00,18.109,0.32921,20.94,0,0,0,0,0,0,0,6.76,0.95,30,10418,38,19.01,99705.66,51.23,30.78,29.907,4
2023-12-18 22:36:37.913000+00:00,0,0,10.47,0,0,0,0,0,0,0,4.88,0.96,30,10409,38,19.01,99708.34,51.23,30.41,29.907,4
2023-12-18 22:37:07.820000+00:00,0,0,1.56,0,0,0,0,0,0,0,6.3,0.96,30,10398,39,19.02,99709,51.24,30.39,29.907,4
2023-12-18 22:37:37.727000+00:00,0,0,0,0,0,0,0,0,0,0,6.87,0.95,30,10395,38,19.02,99709,51.22,30.08,29.907,4
2023-12-18 22:38:07.634000+00:00,0,0,0,0,0,0,0,0,0,0,3.61,0.96,30,10372.33,38,19.03,99709,51.21,31.45,29.907,4
2023-12-18 22:38:37.541000+00:00,20.244,1.0355,9.42,0,0,0,0,0,0,0,6.72,0.99,30,10390,37,19.03,99712.34,51.22,31.21,29.908,4
2023-12-18 22:39:07.449000+00:00,18.856,0.01784,11,0,0,0,0,0,0,0,9.48,0.99,30,10398.5,40,19.03,99709,51.25,31.2,29.906,4
2023-12-18 22:39:37.355000+00:00,18.642,0.30576,0,0,0,0,0,0,0,0,9.23,0.97,30,10386,36,19.05,99717,51.18,30.17,29.908,4
